,depth_class,AI,MAP,MAT,PS_Bio15,TS_Bio4,TAR_Bio7,MaxTWM_Bio5,MinTCM_Bio6,MMTD_Bio2,PWM_Bio13,PDM_Bio14,Elevation,Slope,Mean_pH,Moisture,CEC,Bulk.Density,RootDepth,GPP,Sand.content,Clay.content,Silt.content,Bedrock,Shannon_EVI,LAI,AbovegroundBiomass,BelowgroundBiomass,CUE
599,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,27.01,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.553448096
600,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,27.57,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.505444029
601,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,27.3,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.577332272
602,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,26.28,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.547731211
603,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,26.89,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.557169047
604,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,26.29,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.549611844
605,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,27.11,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.587232201
606,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,25.73,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.564977845
607,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,26.98,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.536505486
608,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,25.75,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.576098787
609,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,27.22,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.561950509
610,0-30,1.7705,2400,26,41.90501785,44.96633911,9.800001144,31.70000076,21.89999962,8.016667366,313,83,95.0625,3.232169867,3.94,28.02,0.106449998,1.115,0.091554135,9.569818497,20,68,13.5,924,15893,5.524799824,93.6,21.8,0.569106705
