Paper.ID,Reference,Continent,Longitude,Latitude,MAP,MAT,Climatezone,Soil_Depth,depth_min,depth_max,depth_mid,depth_class,EEA_CN,EEA_CP,L_CN,L_CP,B_CN,B_CP,S_CN,S_CP,CUE
19,Zuo et al. 2018,Asia,84.66065278,44.13631944,220,2.8,7,0_10cm,0,10,5,0-30,0.143305639,0.100060555,11.1930607,37.05275916,11.44496487,6.577684059,7.135137147,1.77414679,0.512306091
19,Zuo et al. 2018,Asia,84.66065278,44.13631944,220,2.8,7,10_20cm,10,20,15,0-30,0.221081194,0.105525335,19.55995144,44.70996683,13.98701299,7.090190915,3.23448696,1.502784964,0.483692929
19,Zuo et al. 2018,Asia,84.66065278,44.13631944,220,2.8,7,20_40cm,20,40,30,30-60,0.220144625,0.072282933,28.76974528,39.29618637,14.86555859,18.30703459,2.347129922,6.445132246,0.524797587
19,Zuo et al. 2018,Asia,84.66065278,44.13631944,220,2.8,7,40_60cm,40,60,50,30-60,0.148693021,0.137691528,33.69037796,27.53327413,15.08849046,10.65251123,3.011960865,2.809874496,0.511963238
19,Zuo et al. 2018,Asia,84.66065278,44.13631944,220,2.8,7,60_100cm,60,100,80,60-100,0.160292249,0.075629496,41.71289355,14.77366255,18.81680672,17.83512545,2.814252655,15.96234837,0.544430547
19,Zuo et al. 2018,Asia,80.79352778,44.08047222,245,0.9,5,0_10cm,0,10,5,0-30,0.362988763,0.146702224,13.35670313,48.34949138,5.919471766,20.19842888,1.220929252,2.847665554,0.466110032
19,Zuo et al. 2018,Asia,80.79352778,44.08047222,245,0.9,5,10_20cm,10,20,15,0-30,0.324104639,0.146600305,9.804421638,47.47700698,2.753140739,18.07041475,0.86640547,2.596270351,0.437499506
19,Zuo et al. 2018,Asia,80.79352778,44.08047222,245,0.9,5,20_40cm,20,40,30,30-60,0.282928624,0.11517047,10.58478571,45.84992099,8.755462185,32.26529032,2.923614582,6.11020594,0.533076215
19,Zuo et al. 2018,Asia,80.79352778,44.08047222,245,0.9,5,40_60cm,40,60,50,30-60,0.284683878,0.121342549,11.73538366,51.08459058,12.02327085,67.69230769,3.598839387,10.9203432,0.549769444
19,Zuo et al. 2018,Asia,80.79352778,44.08047222,245,0.9,5,60_100cm,60,100,80,60-100,0.394082444,0.148038511,11.5744963,43.26894728,4.894120495,74.00411805,1.072964786,11.55326808,0.485159458
19,Zuo et al. 2018,Asia,83.57472222,44.34561111,268,0.5,23,0_10cm,0,10,5,0-30,0.415291114,0.644120108,13.05757321,51.99625049,16.86857143,26.53057294,3.110736296,0.79215058,0.436045965
19,Zuo et al. 2018,Asia,83.57472222,44.34561111,268,0.5,23,10_20cm,10,20,15,0-30,0.553315588,0.670822459,15.63463435,76.82321189,16.14313029,26.29588432,1.866066506,0.510255537,0.378686287
19,Zuo et al. 2018,Asia,83.57472222,44.34561111,268,0.5,23,20_40cm,20,40,30,30-60,0.542004572,0.661179122,16.08072242,75.63143482,12.12301587,22.74193548,1.390920055,0.454784812,0.3551534
19,Zuo et al. 2018,Asia,83.57472222,44.34561111,268,0.5,23,40_60cm,40,60,50,30-60,0.453521399,0.688671147,14.33226523,74.42872553,13.37946429,14.5379578,2.058382613,0.283629196,0.323781267
19,Zuo et al. 2018,Asia,83.57472222,44.34561111,268,0.5,23,60_100cm,60,100,80,60-100,0.473689877,0.583578102,14.68303312,59.95968557,13.40952381,13.08077419,1.927984212,0.37383083,0.349706684
19,Zuo et al. 2018,Asia,83.67366667,44.28105556,278,-0.3,23,0_10cm,0,10,5,0-30,0.105435339,0.108364775,11.19105461,53.07818657,11.08697765,13.80060484,9.396280176,2.39935169,0.531850711
19,Zuo et al. 2018,Asia,83.67366667,44.28105556,278,-0.3,23,10_20cm,10,20,15,0-30,0.066668665,0.056701425,15.44711578,62.22551691,12.60312429,12.78108139,12.23796081,3.622472628,0.551289208
19,Zuo et al. 2018,Asia,83.67366667,44.28105556,278,-0.3,23,20_40cm,20,40,30,30-60,0.088041466,0.065954791,28.43243643,74.91794864,10.9363167,14.03888643,4.368876169,2.841191019,0.524108638
19,Zuo et al. 2018,Asia,83.67366667,44.28105556,278,-0.3,23,40_60cm,40,60,50,30-60,0.089573616,0.087000658,33.3716149,46.43829522,12.3968254,17.99539171,4.147182586,4.454126009,0.537440865
19,Zuo et al. 2018,Asia,83.67366667,44.28105556,278,-0.3,23,60_100cm,60,100,80,60-100,0.065561444,0.04913194,33.42488638,14.55689295,11.70556161,10.99231951,5.341630059,15.369394,0.564636995
19,Zuo et al. 2018,Asia,84.52444444,44.11902778,254,0.3,7,0_10cm,0,10,5,0-30,0.531096137,0.29846604,8.560298193,43.68872061,8.377807133,35.03521752,1.842758072,2.686832347,0.488610017
19,Zuo et al. 2018,Asia,84.52444444,44.11902778,254,0.3,7,10_20cm,10,20,15,0-30,0.540540045,0.209309584,8.662995918,36.02987474,11.11742424,21.67003604,2.374150223,2.873477273,0.503286875
19,Zuo et al. 2018,Asia,84.52444444,44.11902778,254,0.3,7,20_40cm,20,40,30,30-60,0.49704938,0.232058218,8.713734346,35.19733594,10.63412896,17.24602792,2.455263291,2.111457476,0.491758513
19,Zuo et al. 2018,Asia,84.52444444,44.11902778,254,0.3,7,40_60cm,40,60,50,30-60,0.518169808,0.293838536,9.044464652,40.0024843,12.35228447,13.52529711,2.635677778,1.150670818,0.459279442
19,Zuo et al. 2018,Asia,84.52444444,44.11902778,254,0.3,7,60_100cm,60,100,80,60-100,0.544320511,0.214448034,9.565993823,41.54964728,10.06711409,4.882301656,1.933393234,0.547942767,0.386726575
19,Zuo et al. 2018,Asia,84.67583333,44.42027778,155,8.8,5,0_10cm,0,10,5,0-30,0.526177257,0.145172939,9.898830445,34.24821674,3.986360906,53.12832588,0.765351005,10.68568821,0.456085186
19,Zuo et al. 2018,Asia,84.67583333,44.42027778,155,8.8,5,10_20cm,10,20,15,0-30,0.475105872,0.133625737,9.647164381,29.44696361,5.856450496,20.55014172,1.277745618,5.222569022,0.485942872
19,Zuo et al. 2018,Asia,84.67583333,44.42027778,155,8.8,5,20_40cm,20,40,30,30-60,0.499869631,0.135743552,9.381099895,17.76452802,4.462869072,9.064970468,0.95170781,3.759183373,0.456401483
19,Zuo et al. 2018,Asia,84.67583333,44.42027778,155,8.8,5,40_60cm,40,60,50,30-60,0.466661937,0.118631916,8.979943466,12.80070578,11.56015038,18.69616619,2.758592188,12.31167379,0.541172363
